Tipo de caso,Número de caso,Algoritmo,Resultado,Tiempo (microsegundos),Tamaño de entrada
caso_random,1,Fuerza Bruta,10,5,4
caso_random,1,Programación Dinámica,10,0,4
caso_random,2,Fuerza Bruta,22,4,4
caso_random,2,Programación Dinámica,22,1,4
caso_random,3,Fuerza Bruta,16,4,4
caso_random,3,Programación Dinámica,16,0,4
caso_random,4,Fuerza Bruta,15,5,4
caso_random,4,Programación Dinámica,15,0,4
caso_random,5,Fuerza Bruta,21,5,4
caso_random,5,Programación Dinámica,21,0,4
caso_random,6,Fuerza Bruta,13,5,4
caso_random,6,Programación Dinámica,13,1,4
caso_random,7,Fuerza Bruta,20,7,4
caso_random,7,Programación Dinámica,20,0,4
caso_random,8,Fuerza Bruta,17,4,4
caso_random,8,Programación Dinámica,17,0,4
caso_random,9,Fuerza Bruta,14,5,4
caso_random,9,Programación Dinámica,14,0,4
caso_random,10,Fuerza Bruta,20,9,4
caso_random,10,Programación Dinámica,20,1,4
caso_random,11,Fuerza Bruta,13,5,4
caso_random,11,Programación Dinámica,13,0,4
caso_random,12,Fuerza Bruta,24,5,4
caso_random,12,Programación Dinámica,24,0,4
caso_random,13,Fuerza Bruta,22,4,4
caso_random,13,Programación Dinámica,22,0,4
caso_random,14,Fuerza Bruta,22,5,4
caso_random,14,Programación Dinámica,22,0,4
caso_random,15,Fuerza Bruta,21,5,4
caso_random,15,Programación Dinámica,21,0,4
caso_random,16,Fuerza Bruta,20,5,4
caso_random,16,Programación Dinámica,20,0,4
caso_random,17,Fuerza Bruta,18,4,4
caso_random,17,Programación Dinámica,18,0,4
caso_random,18,Fuerza Bruta,17,5,4
caso_random,18,Programación Dinámica,17,0,4
caso_random,19,Fuerza Bruta,14,6,4
caso_random,19,Programación Dinámica,14,1,4
caso_random,20,Fuerza Bruta,12,6,4
caso_random,20,Programación Dinámica,12,0,4
caso_random,21,Fuerza Bruta,20,4,4
caso_random,21,Programación Dinámica,20,0,4
caso_random,22,Fuerza Bruta,17,6,4
caso_random,22,Programación Dinámica,17,0,4
caso_random,23,Fuerza Bruta,26,6,4
caso_random,23,Programación Dinámica,26,0,4
caso_random,24,Fuerza Bruta,16,8,4
caso_random,24,Programación Dinámica,16,1,4
caso_random,25,Fuerza Bruta,18,8,4
caso_random,25,Programación Dinámica,18,1,4
caso_random,26,Fuerza Bruta,24,111,6
caso_random,26,Programación Dinámica,24,2,6
caso_random,27,Fuerza Bruta,28,109,6
caso_random,27,Programación Dinámica,28,1,6
caso_random,28,Fuerza Bruta,23,84,6
caso_random,28,Programación Dinámica,23,1,6
caso_random,29,Fuerza Bruta,18,109,6
caso_random,29,Programación Dinámica,18,1,6
caso_random,30,Fuerza Bruta,28,106,6
caso_random,30,Programación Dinámica,28,1,6
caso_random,31,Fuerza Bruta,22,92,6
caso_random,31,Programación Dinámica,22,3,6
caso_random,32,Fuerza Bruta,16,83,6
caso_random,32,Programación Dinámica,16,1,6
caso_random,33,Fuerza Bruta,24,104,6
caso_random,33,Programación Dinámica,24,1,6
caso_random,34,Fuerza Bruta,24,85,6
caso_random,34,Programación Dinámica,24,1,6
caso_random,35,Fuerza Bruta,31,129,6
caso_random,35,Programación Dinámica,31,4,6
caso_random,36,Fuerza Bruta,23,132,6
caso_random,36,Programación Dinámica,23,3,6
caso_random,37,Fuerza Bruta,32,123,6
caso_random,37,Programación Dinámica,32,1,6
caso_random,38,Fuerza Bruta,27,108,6
caso_random,38,Programación Dinámica,27,2,6
caso_random,39,Fuerza Bruta,19,151,6
caso_random,39,Programación Dinámica,19,2,6
caso_random,40,Fuerza Bruta,25,120,6
caso_random,40,Programación Dinámica,25,1,6
caso_random,41,Fuerza Bruta,25,130,6
caso_random,41,Programación Dinámica,25,2,6
caso_random,42,Fuerza Bruta,31,139,6
caso_random,42,Programación Dinámica,31,1,6
caso_random,43,Fuerza Bruta,27,101,6
caso_random,43,Programación Dinámica,27,1,6
caso_random,44,Fuerza Bruta,18,163,6
caso_random,44,Programación Dinámica,18,1,6
caso_random,45,Fuerza Bruta,28,132,6
caso_random,45,Programación Dinámica,28,1,6
caso_random,46,Fuerza Bruta,21,97,6
caso_random,46,Programación Dinámica,21,2,6
caso_random,47,Fuerza Bruta,17,89,6
caso_random,47,Programación Dinámica,17,2,6
caso_random,48,Fuerza Bruta,19,85,6
caso_random,48,Programación Dinámica,19,2,6
caso_random,49,Fuerza Bruta,26,129,6
caso_random,49,Programación Dinámica,26,3,6
caso_random,50,Fuerza Bruta,31,133,6
caso_random,50,Programación Dinámica,31,1,6
caso_random,51,Fuerza Bruta,33,2651,8
caso_random,51,Programación Dinámica,33,3,8
caso_random,52,Fuerza Bruta,33,2717,8
caso_random,52,Programación Dinámica,33,4,8
caso_random,53,Fuerza Bruta,36,2928,8
caso_random,53,Programación Dinámica,36,2,8
caso_random,54,Fuerza Bruta,25,2630,8
caso_random,54,Programación Dinámica,25,3,8
caso_random,55,Fuerza Bruta,44,2591,8
caso_random,55,Programación Dinámica,44,2,8
caso_random,56,Fuerza Bruta,20,2639,8
caso_random,56,Programación Dinámica,20,2,8
caso_random,57,Fuerza Bruta,40,2636,8
caso_random,57,Programación Dinámica,40,5,8
caso_random,58,Fuerza Bruta,26,2786,8
caso_random,58,Programación Dinámica,26,3,8
caso_random,59,Fuerza Bruta,27,3177,8
caso_random,59,Programación Dinámica,27,2,8
caso_random,60,Fuerza Bruta,29,3006,8
caso_random,60,Programación Dinámica,29,3,8
caso_random,61,Fuerza Bruta,35,2448,8
caso_random,61,Programación Dinámica,35,3,8
caso_random,62,Fuerza Bruta,29,2627,8
caso_random,62,Programación Dinámica,29,6,8
caso_random,63,Fuerza Bruta,31,2856,8
caso_random,63,Programación Dinámica,31,3,8
caso_random,64,Fuerza Bruta,41,2634,8
caso_random,64,Programación Dinámica,41,4,8
caso_random,65,Fuerza Bruta,35,2965,8
caso_random,65,Programación Dinámica,35,3,8
caso_random,66,Fuerza Bruta,36,2777,8
caso_random,66,Programación Dinámica,36,2,8
caso_random,67,Fuerza Bruta,37,2775,8
caso_random,67,Programación Dinámica,37,2,8
caso_random,68,Fuerza Bruta,29,3071,8
caso_random,68,Programación Dinámica,29,2,8
caso_random,69,Fuerza Bruta,29,2889,8
caso_random,69,Programación Dinámica,29,3,8
caso_random,70,Fuerza Bruta,29,2714,8
caso_random,70,Programación Dinámica,29,3,8
caso_random,71,Fuerza Bruta,34,2732,8
caso_random,71,Programación Dinámica,34,3,8
caso_random,72,Fuerza Bruta,34,2532,8
caso_random,72,Programación Dinámica,34,4,8
caso_random,73,Fuerza Bruta,32,2680,8
caso_random,73,Programación Dinámica,32,3,8
caso_random,74,Fuerza Bruta,27,2940,8
caso_random,74,Programación Dinámica,27,3,8
caso_random,75,Fuerza Bruta,30,2838,8
caso_random,75,Programación Dinámica,30,3,8
caso_random,76,Fuerza Bruta,30,77588,10
caso_random,76,Programación Dinámica,30,3,10
caso_random,77,Fuerza Bruta,30,96653,10
caso_random,77,Programación Dinámica,30,4,10
caso_random,78,Fuerza Bruta,39,81157,10
caso_random,78,Programación Dinámica,39,3,10
caso_random,79,Fuerza Bruta,36,81665,10
caso_random,79,Programación Dinámica,36,4,10
caso_random,80,Fuerza Bruta,35,85571,10
caso_random,80,Programación Dinámica,35,3,10
caso_random,81,Fuerza Bruta,32,78871,10
caso_random,81,Programación Dinámica,32,2,10
caso_random,82,Fuerza Bruta,40,81753,10
caso_random,82,Programación Dinámica,35,4,10
caso_random,83,Fuerza Bruta,38,79309,10
caso_random,83,Programación Dinámica,38,3,10
caso_random,84,Fuerza Bruta,44,74027,10
caso_random,84,Programación Dinámica,44,4,10
caso_random,85,Fuerza Bruta,36,77484,10
caso_random,85,Programación Dinámica,36,4,10
caso_random,86,Fuerza Bruta,45,76028,10
caso_random,86,Programación Dinámica,45,3,10
caso_random,87,Fuerza Bruta,35,76786,10
caso_random,87,Programación Dinámica,35,4,10
caso_random,88,Fuerza Bruta,42,89868,10
caso_random,88,Programación Dinámica,42,3,10
caso_random,89,Fuerza Bruta,34,74886,10
caso_random,89,Programación Dinámica,34,4,10
caso_random,90,Fuerza Bruta,34,75574,10
caso_random,90,Programación Dinámica,34,3,10
caso_random,91,Fuerza Bruta,42,75544,10
caso_random,91,Programación Dinámica,42,3,10
caso_random,92,Fuerza Bruta,37,78802,10
caso_random,92,Programación Dinámica,37,3,10
caso_random,93,Fuerza Bruta,37,75285,10
caso_random,93,Programación Dinámica,37,4,10
caso_random,94,Fuerza Bruta,43,79089,10
caso_random,94,Programación Dinámica,43,4,10
caso_random,95,Fuerza Bruta,31,75226,10
caso_random,95,Programación Dinámica,31,3,10
caso_random,96,Fuerza Bruta,38,75420,10
caso_random,96,Programación Dinámica,38,2,10
caso_random,97,Fuerza Bruta,34,81807,10
caso_random,97,Programación Dinámica,34,2,10
caso_random,98,Fuerza Bruta,54,73464,10
caso_random,98,Programación Dinámica,54,4,10
caso_random,99,Fuerza Bruta,33,77562,10
caso_random,99,Programación Dinámica,33,3,10
caso_random,100,Fuerza Bruta,41,76658,10
caso_random,100,Programación Dinámica,41,3,10
caso_repetido,1,Fuerza Bruta,9,6,4
caso_repetido,1,Programación Dinámica,9,1,4
caso_repetido,2,Fuerza Bruta,11,6,4
caso_repetido,2,Programación Dinámica,11,1,4
caso_repetido,3,Fuerza Bruta,12,4,4
caso_repetido,3,Programación Dinámica,12,1,4
caso_repetido,4,Fuerza Bruta,4,5,4
caso_repetido,4,Programación Dinámica,4,0,4
caso_repetido,5,Fuerza Bruta,9,5,4
caso_repetido,5,Programación Dinámica,9,1,4
caso_repetido,6,Fuerza Bruta,16,5,4
caso_repetido,6,Programación Dinámica,16,0,4
caso_repetido,7,Fuerza Bruta,6,5,4
caso_repetido,7,Programación Dinámica,6,1,4
caso_repetido,8,Fuerza Bruta,12,5,4
caso_repetido,8,Programación Dinámica,12,1,4
caso_repetido,9,Fuerza Bruta,16,5,4
caso_repetido,9,Programación Dinámica,16,2,4
caso_repetido,10,Fuerza Bruta,13,6,4
caso_repetido,10,Programación Dinámica,13,1,4
caso_repetido,11,Fuerza Bruta,12,6,4
caso_repetido,11,Programación Dinámica,12,1,4
caso_repetido,12,Fuerza Bruta,8,5,4
caso_repetido,12,Programación Dinámica,8,1,4
caso_repetido,13,Fuerza Bruta,9,5,4
caso_repetido,13,Programación Dinámica,9,0,4
caso_repetido,14,Fuerza Bruta,8,5,4
caso_repetido,14,Programación Dinámica,8,1,4
caso_repetido,15,Fuerza Bruta,9,6,4
caso_repetido,15,Programación Dinámica,9,0,4
caso_repetido,16,Fuerza Bruta,6,7,4
caso_repetido,16,Programación Dinámica,6,1,4
caso_repetido,17,Fuerza Bruta,4,7,4
caso_repetido,17,Programación Dinámica,4,1,4
caso_repetido,18,Fuerza Bruta,9,6,4
caso_repetido,18,Programación Dinámica,9,1,4
caso_repetido,19,Fuerza Bruta,5,5,4
caso_repetido,19,Programación Dinámica,5,1,4
caso_repetido,20,Fuerza Bruta,11,6,4
caso_repetido,20,Programación Dinámica,11,2,4
caso_repetido,21,Fuerza Bruta,12,5,4
caso_repetido,21,Programación Dinámica,12,0,4
caso_repetido,22,Fuerza Bruta,13,5,4
caso_repetido,22,Programación Dinámica,13,1,4
caso_repetido,23,Fuerza Bruta,13,9,4
caso_repetido,23,Programación Dinámica,13,1,4
caso_repetido,24,Fuerza Bruta,4,9,4
caso_repetido,24,Programación Dinámica,4,1,4
caso_repetido,25,Fuerza Bruta,10,6,4
caso_repetido,25,Programación Dinámica,10,0,4
caso_repetido,26,Fuerza Bruta,18,91,6
caso_repetido,26,Programación Dinámica,18,2,6
caso_repetido,27,Fuerza Bruta,14,111,6
caso_repetido,27,Programación Dinámica,14,2,6
caso_repetido,28,Fuerza Bruta,8,109,6
caso_repetido,28,Programación Dinámica,8,2,6
caso_repetido,29,Fuerza Bruta,10,118,6
caso_repetido,29,Programación Dinámica,10,1,6
caso_repetido,30,Fuerza Bruta,13,140,6
caso_repetido,30,Programación Dinámica,13,1,6
caso_repetido,31,Fuerza Bruta,14,159,6
caso_repetido,31,Programación Dinámica,14,2,6
caso_repetido,32,Fuerza Bruta,19,108,6
caso_repetido,32,Programación Dinámica,19,2,6
caso_repetido,33,Fuerza Bruta,9,178,6
caso_repetido,33,Programación Dinámica,9,2,6
caso_repetido,34,Fuerza Bruta,10,96,6
caso_repetido,34,Programación Dinámica,10,1,6
caso_repetido,35,Fuerza Bruta,23,130,6
caso_repetido,35,Programación Dinámica,23,1,6
caso_repetido,36,Fuerza Bruta,9,110,6
caso_repetido,36,Programación Dinámica,9,2,6
caso_repetido,37,Fuerza Bruta,14,139,6
caso_repetido,37,Programación Dinámica,14,3,6
caso_repetido,38,Fuerza Bruta,19,161,6
caso_repetido,38,Programación Dinámica,19,2,6
caso_repetido,39,Fuerza Bruta,18,108,6
caso_repetido,39,Programación Dinámica,18,1,6
caso_repetido,40,Fuerza Bruta,11,121,6
caso_repetido,40,Programación Dinámica,11,1,6
caso_repetido,41,Fuerza Bruta,20,92,6
caso_repetido,41,Programación Dinámica,20,1,6
caso_repetido,42,Fuerza Bruta,8,108,6
caso_repetido,42,Programación Dinámica,8,3,6
caso_repetido,43,Fuerza Bruta,12,111,6
caso_repetido,43,Programación Dinámica,12,2,6
caso_repetido,44,Fuerza Bruta,8,121,6
caso_repetido,44,Programación Dinámica,8,2,6
caso_repetido,45,Fuerza Bruta,8,112,6
caso_repetido,45,Programación Dinámica,8,1,6
caso_repetido,46,Fuerza Bruta,18,150,6
caso_repetido,46,Programación Dinámica,18,2,6
caso_repetido,47,Fuerza Bruta,20,92,6
caso_repetido,47,Programación Dinámica,20,2,6
caso_repetido,48,Fuerza Bruta,5,91,6
caso_repetido,48,Programación Dinámica,5,1,6
caso_repetido,49,Fuerza Bruta,9,102,6
caso_repetido,49,Programación Dinámica,9,2,6
caso_repetido,50,Fuerza Bruta,8,129,6
caso_repetido,50,Programación Dinámica,8,1,6
caso_repetido,51,Fuerza Bruta,17,2892,8
caso_repetido,51,Programación Dinámica,17,4,8
caso_repetido,52,Fuerza Bruta,10,2932,8
caso_repetido,52,Programación Dinámica,10,4,8
caso_repetido,53,Fuerza Bruta,19,3097,8
caso_repetido,53,Programación Dinámica,19,4,8
caso_repetido,54,Fuerza Bruta,18,3326,8
caso_repetido,54,Programación Dinámica,18,5,8
caso_repetido,55,Fuerza Bruta,25,3990,8
caso_repetido,55,Programación Dinámica,25,4,8
caso_repetido,56,Fuerza Bruta,15,3354,8
caso_repetido,56,Programación Dinámica,15,5,8
caso_repetido,57,Fuerza Bruta,15,3044,8
caso_repetido,57,Programación Dinámica,15,3,8
caso_repetido,58,Fuerza Bruta,15,3593,8
caso_repetido,58,Programación Dinámica,15,3,8
caso_repetido,59,Fuerza Bruta,15,3240,8
caso_repetido,59,Programación Dinámica,15,2,8
caso_repetido,60,Fuerza Bruta,13,3429,8
caso_repetido,60,Programación Dinámica,13,3,8
caso_repetido,61,Fuerza Bruta,12,3251,8
caso_repetido,61,Programación Dinámica,12,8,8
caso_repetido,62,Fuerza Bruta,15,3281,8
caso_repetido,62,Programación Dinámica,15,42,8
caso_repetido,63,Fuerza Bruta,20,3432,8
caso_repetido,63,Programación Dinámica,20,3,8
caso_repetido,64,Fuerza Bruta,15,3643,8
caso_repetido,64,Programación Dinámica,15,3,8
caso_repetido,65,Fuerza Bruta,26,3416,8
caso_repetido,65,Programación Dinámica,26,4,8
caso_repetido,66,Fuerza Bruta,17,3264,8
caso_repetido,66,Programación Dinámica,17,4,8
caso_repetido,67,Fuerza Bruta,12,3100,8
caso_repetido,67,Programación Dinámica,12,5,8
caso_repetido,68,Fuerza Bruta,23,3210,8
caso_repetido,68,Programación Dinámica,23,3,8
caso_repetido,69,Fuerza Bruta,12,2860,8
caso_repetido,69,Programación Dinámica,12,6,8
caso_repetido,70,Fuerza Bruta,20,3262,8
caso_repetido,70,Programación Dinámica,20,4,8
caso_repetido,71,Fuerza Bruta,21,3064,8
caso_repetido,71,Programación Dinámica,21,3,8
caso_repetido,72,Fuerza Bruta,24,3237,8
caso_repetido,72,Programación Dinámica,24,3,8
caso_repetido,73,Fuerza Bruta,16,3533,8
caso_repetido,73,Programación Dinámica,16,4,8
caso_repetido,74,Fuerza Bruta,16,3069,8
caso_repetido,74,Programación Dinámica,16,2,8
caso_repetido,75,Fuerza Bruta,15,2862,8
caso_repetido,75,Programación Dinámica,17,3,8
caso_repetido,76,Fuerza Bruta,21,93146,10
caso_repetido,76,Programación Dinámica,21,4,10
caso_repetido,77,Fuerza Bruta,25,89040,10
caso_repetido,77,Programación Dinámica,25,3,10
caso_repetido,78,Fuerza Bruta,31,89039,10
caso_repetido,78,Programación Dinámica,31,3,10
caso_repetido,79,Fuerza Bruta,17,92353,10
caso_repetido,79,Programación Dinámica,17,3,10
caso_repetido,80,Fuerza Bruta,24,89710,10
caso_repetido,80,Programación Dinámica,24,3,10
caso_repetido,81,Fuerza Bruta,25,88685,10
caso_repetido,81,Programación Dinámica,25,4,10
caso_repetido,82,Fuerza Bruta,32,93440,10
caso_repetido,82,Programación Dinámica,32,3,10
caso_repetido,83,Fuerza Bruta,16,89423,10
caso_repetido,83,Programación Dinámica,16,4,10
caso_repetido,84,Fuerza Bruta,18,90910,10
caso_repetido,84,Programación Dinámica,18,3,10
caso_repetido,85,Fuerza Bruta,21,97262,10
caso_repetido,85,Programación Dinámica,21,4,10
caso_repetido,86,Fuerza Bruta,25,104236,10
caso_repetido,86,Programación Dinámica,25,3,10
caso_repetido,87,Fuerza Bruta,10,89547,10
caso_repetido,87,Programación Dinámica,10,12,10
caso_repetido,88,Fuerza Bruta,18,92785,10
caso_repetido,88,Programación Dinámica,18,3,10
caso_repetido,89,Fuerza Bruta,16,98469,10
caso_repetido,89,Programación Dinámica,16,8,10
caso_repetido,90,Fuerza Bruta,22,106249,10
caso_repetido,90,Programación Dinámica,22,3,10
caso_repetido,91,Fuerza Bruta,21,98323,10
caso_repetido,91,Programación Dinámica,21,3,10
caso_repetido,92,Fuerza Bruta,13,92642,10
caso_repetido,92,Programación Dinámica,13,3,10
caso_repetido,93,Fuerza Bruta,15,95676,10
caso_repetido,93,Programación Dinámica,15,3,10
caso_repetido,94,Fuerza Bruta,22,91508,10
caso_repetido,94,Programación Dinámica,22,3,10
caso_repetido,95,Fuerza Bruta,16,98048,10
caso_repetido,95,Programación Dinámica,16,4,10
caso_repetido,96,Fuerza Bruta,20,90684,10
caso_repetido,96,Programación Dinámica,20,3,10
caso_repetido,97,Fuerza Bruta,11,104407,10
caso_repetido,97,Programación Dinámica,11,3,10
caso_repetido,98,Fuerza Bruta,23,92620,10
caso_repetido,98,Programación Dinámica,23,3,10
caso_repetido,99,Fuerza Bruta,16,90915,10
caso_repetido,99,Programación Dinámica,16,3,10
caso_repetido,100,Fuerza Bruta,21,90110,10
caso_repetido,100,Programación Dinámica,21,6,10
caso_transposicion,1,Fuerza Bruta,15,5,4
caso_transposicion,1,Programación Dinámica,15,1,4
caso_transposicion,2,Fuerza Bruta,9,5,4
caso_transposicion,2,Programación Dinámica,9,1,4
caso_transposicion,3,Fuerza Bruta,14,2875,8
caso_transposicion,3,Programación Dinámica,14,4,8
